id_hecho,fecha,rol,vehiculo_victima,sexo,edad,fecha_fallecimiento,cantidad_victimas,hora,lugar,tipo_de_calle,comuna,longitud,latitud,vehiculo_acusado
2021-0038,2021-05-14,CONDUCTOR,MOTO,FEMENINO,44.0,2021-05-14,1,11,"JUSTO, JUAN B. AV. Y SANTA FE AV.",AVENIDA,14.0,-58.42653328,-34.57816791,CARGAS
2021-0039,2021-05-15,CICLISTA,BICICLETA,MASCULINO,86.0,2021-06-05,1,12,"OLIDEN Y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,9.0,-58.50407099,-34.65303372,AUTO
2021-0040,2021-05-20,CONDUCTOR,MOTO,MASCULINO,27.0,2021-05-20,1,5,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,13.0,-58.46743471,-34.53476874,AUTO
2021-0041,2021-05-20,PEATON,PEATON,MASCULINO,75.0,2021-05-20,1,8,DEL LIBERTADOR AV. Y CASARES AV.,AVENIDA,14.0,-58.40986646,-34.57728060,PASAJEROS
2021-0042,2021-05-21,PEATON,PEATON,MASCULINO,39.0,2021-05-21,1,5,RIVADAVIA AV. 10900,AVENIDA,9.0,-58.51739138,-34.63931792,PASAJEROS
2021-0043,2021-05-22,PEATON,PEATON,MASCULINO,50.0,2021-05-22,1,18,"ALBERDI, JUAN BAUTISTA AV. Y PILAR",AVENIDA,9.0,-58.50719962,-34.65556223,AUTO
2021-0044,2021-05-25,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21.0,2021-05-25,1,2,"PERON, EVA AV. Y ACOSTA, MARIANO",AVENIDA,9.0,-58.46712311,-34.64600222,OBJETO FIJO
2021-0045,2021-05-26,CONDUCTOR,MOTO,MASCULINO,22.0,2021-05-26,1,17,AU FRONDIZI Y SUAREZ AV.,AUTOPISTA,4.0,-58.37709334,-34.64035082,MULTIPLE
2021-0046,2021-05-31,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,20.0,2021-05-31,1,2,EL CANO AV. Y GUZMAN AV.,AVENIDA,15.0,-58.46033141,-34.58569883,OBJETO FIJO
2021-0047,2021-06-02,CONDUCTOR,MOTO,MASCULINO,59.0,2021-06-02,1,16,"VEDIA, AGUSTIN DE Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,4.0,-58.42190745,-34.65633192,AUTO
